#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.134735E-01   0.140434E+08   0.140273E+08  -0.187947E+04  -0.188039E+04   0.806634E+07   0.140141E+08   0.140409E+08   0.140141E+08  -0.333740E+00   0.739475E+07   0.739461E+07   0.349560E+01
   0.139302E-01   0.138602E+08   0.138432E+08  -0.173550E+04  -0.173635E+04   0.782240E+07   0.138304E+08   0.138575E+08   0.138304E+08  -0.329367E+00   0.729797E+07   0.729782E+07   0.355766E+01
   0.144023E-01   0.136729E+08   0.136550E+08  -0.160181E+04  -0.160259E+04   0.757883E+07   0.136428E+08   0.136701E+08   0.136428E+08  -0.324897E+00   0.719907E+07   0.719891E+07   0.361851E+01
   0.148905E-01   0.134816E+08   0.134627E+08  -0.147769E+04  -0.147842E+04   0.733569E+07   0.134511E+08   0.134786E+08   0.134511E+08  -0.320332E+00   0.709804E+07   0.709787E+07   0.367789E+01
   0.153952E-01   0.132862E+08   0.132663E+08  -0.136251E+04  -0.136318E+04   0.709332E+07   0.132553E+08   0.132831E+08   0.132553E+08  -0.315671E+00   0.699487E+07   0.699470E+07   0.373550E+01
   0.159170E-01   0.130868E+08   0.130658E+08  -0.125564E+04  -0.125626E+04   0.685222E+07   0.130555E+08   0.130835E+08   0.130555E+08  -0.310913E+00   0.688957E+07   0.688939E+07   0.379101E+01
   0.164565E-01   0.128833E+08   0.128612E+08  -0.115653E+04  -0.115709E+04   0.661286E+07   0.128517E+08   0.128798E+08   0.128517E+08  -0.306059E+00   0.678214E+07   0.678195E+07   0.384407E+01
   0.170143E-01   0.126758E+08   0.126526E+08  -0.106463E+04  -0.106515E+04   0.637552E+07   0.126439E+08   0.126722E+08   0.126439E+08  -0.301110E+00   0.667260E+07   0.667240E+07   0.389432E+01
   0.175910E-01   0.124643E+08   0.124400E+08  -0.979463E+03  -0.979941E+03   0.614032E+07   0.124322E+08   0.124605E+08   0.124322E+08  -0.296067E+00   0.656096E+07   0.656075E+07   0.394134E+01
   0.181873E-01   0.122489E+08   0.122233E+08  -0.900560E+03  -0.900999E+03   0.590737E+07   0.122165E+08   0.122449E+08   0.122165E+08  -0.290931E+00   0.644725E+07   0.644704E+07   0.398472E+01
   0.188038E-01   0.120296E+08   0.120028E+08  -0.827491E+03  -0.827894E+03   0.567688E+07   0.119969E+08   0.120254E+08   0.119969E+08  -0.285702E+00   0.633151E+07   0.633129E+07   0.402399E+01
   0.194411E-01   0.118065E+08   0.117785E+08  -0.759855E+03  -0.760225E+03   0.544911E+07   0.117736E+08   0.118021E+08   0.117736E+08  -0.280385E+00   0.621379E+07   0.621356E+07   0.405868E+01
   0.201001E-01   0.115798E+08   0.115505E+08  -0.697277E+03  -0.697617E+03   0.522442E+07   0.115467E+08   0.115752E+08   0.115467E+08  -0.274981E+00   0.609414E+07   0.609390E+07   0.408829E+01
   0.207814E-01   0.113495E+08   0.113190E+08  -0.639408E+03  -0.639720E+03   0.500317E+07   0.113163E+08   0.113447E+08   0.113163E+08  -0.269493E+00   0.597264E+07   0.597239E+07   0.411228E+01
   0.214858E-01   0.111159E+08   0.110840E+08  -0.585923E+03  -0.586208E+03   0.478566E+07   0.110825E+08   0.111109E+08   0.110825E+08  -0.263926E+00   0.584937E+07   0.584911E+07   0.413013E+01
   0.222140E-01   0.108791E+08   0.108459E+08  -0.536517E+03  -0.536779E+03   0.457199E+07   0.108456E+08   0.108739E+08   0.108456E+08  -0.258284E+00   0.572444E+07   0.572417E+07   0.414125E+01
