# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04077e-05 to 522.158 h/Mpc,
# number of wavenumbers equal to 139
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_idm_dr/k2           4:-T_b/k2                5:-T_g/k2                6:-T_ur/k2              9:-T_tot/k2
       8.275654462784e+00       2.463795859686e+03       0.000000000000e+00       2.450759168004e+03      -9.108714273328e-07      -9.275191074444e-07      2.461018377761e+03
       1.041843170243e+01       1.632690390313e+03       0.000000000000e+00       1.623774456148e+03      -3.808667070060e-07      -3.878261798094e-07      1.630806280333e+03
       1.311602842123e+01       1.079567269604e+03       0.000000000000e+00       1.073381670095e+03      -1.589211048132e-07      -1.618238235145e-07      1.078275813204e+03
       1.651210148130e+01       7.123758753562e+02       0.000000000000e+00       7.079905851925e+02      -6.617801793328e-08      -6.738604224196e-08      7.114759296581e+02
       2.078750415693e+01       4.691864369637e+02       0.000000000000e+00       4.659814338060e+02      -2.750961114561e-08      -2.801127749330e-08      4.685438918490e+02
       2.616991723093e+01       3.084591388298e+02       0.000000000000e+00       3.060223087312e+02      -1.141782921350e-08      -1.162570335805e-08      3.079848424215e+02
       3.294597382657e+01       2.024416396397e+02       0.000000000000e+00       2.004997805104e+02      -4.731537853785e-09      -4.817469929246e-09      2.020764778413e+02
       4.147652366658e+01       1.326390907089e+02       0.000000000000e+00       1.310119430870e+02      -1.958457275908e-09      -1.993885407550e-09      1.323440252771e+02
       5.221584963674e+01       8.675436330962e+01       0.000000000000e+00       8.532365881283e+01      -8.097961056978e-10      -8.243541254833e-10      8.650373484661e+01
       6.573586000611e+01       5.664053938967e+01       0.000000000000e+00       5.532966703845e+01      -3.346131935554e-10      -3.405696872463e-10      5.641764453697e+01
       8.275654462784e+01       3.690449122048e+01       0.000000000000e+00       3.566513673081e+01      -1.382225811437e-10      -1.406452416607e-10      3.669866864512e+01
       1.041843170243e+02       2.398707427149e+01       0.000000000000e+00       2.279080636891e+01      -5.710164473176e-11      -5.807859135887e-11      2.379184015723e+01
       1.311602842123e+02       1.554321432386e+01       0.000000000000e+00       1.437673109875e+01      -2.360846760026e-11      -2.399748782696e-11      1.535515645348e+01
       1.651210148130e+02       1.003093281058e+01       0.000000000000e+00       8.893298846939e+00      -9.774980420354e-12      -9.927023095289e-12      9.849039035363e+00
       2.078750415693e+02       6.438236591668e+00       0.000000000000e+00       5.340575138180e+00      -4.054217015147e-12      -4.112039592673e-12      6.263690031387e+00
       2.616991723093e+02       4.102028445625e+00       0.000000000000e+00       3.066954227157e+00      -1.683337908753e-12      -1.704500754386e-12      3.938015329000e+00
       3.294597382657e+02       2.588772442534e+00       0.000000000000e+00       1.649497186324e+00      -6.977216620500e-13      -7.050984685023e-13      2.440273682336e+00
       4.147652366658e+02       1.615721287548e+00       0.000000000000e+00       8.107815967106e-01      -2.868160773664e-13      -2.892695624255e-13      1.488638755461e+00
       5.221584963674e+02       9.976553878866e-01       0.000000000000e+00       3.598541879273e-01      -1.157247607554e-13      -1.165357122777e-13      8.970437808614e-01
