#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.286934E-01   0.841180E+07   0.836623E+07  -0.349463E+03  -0.349563E+03   0.268231E+07   0.837709E+07   0.840423E+07   0.837709E+07  -0.188662E+00   0.407730E+07   0.407696E+07   0.394043E+01
   0.301645E-01   0.802845E+07   0.798191E+07  -0.301814E+03  -0.301901E+03   0.244820E+07   0.799429E+07   0.802072E+07   0.799429E+07  -0.180041E+00   0.389110E+07   0.389076E+07   0.379293E+01
   0.317111E-01   0.765124E+07   0.760410E+07  -0.260278E+03  -0.260353E+03   0.222876E+07   0.761773E+07   0.764341E+07   0.761773E+07  -0.171560E+00   0.370793E+07   0.370758E+07   0.361753E+01
   0.333369E-01   0.732516E+07   0.727782E+07  -0.225487E+03  -0.225552E+03   0.203600E+07   0.729225E+07   0.731730E+07   0.729225E+07  -0.164230E+00   0.354960E+07   0.354926E+07   0.341629E+01
   0.350462E-01   0.697086E+07   0.692381E+07  -0.194174E+03  -0.194230E+03   0.184675E+07   0.693878E+07   0.696305E+07   0.693878E+07  -0.156269E+00   0.337764E+07   0.337731E+07   0.318752E+01
   0.368430E-01   0.662823E+07   0.658199E+07  -0.167073E+03  -0.167121E+03   0.167183E+07   0.659708E+07   0.662055E+07   0.659708E+07  -0.148574E+00   0.321140E+07   0.321107E+07   0.293519E+01
   0.387320E-01   0.630243E+07   0.625756E+07  -0.143756E+03  -0.143797E+03   0.151186E+07   0.627229E+07   0.629498E+07   0.627229E+07  -0.141259E+00   0.305338E+07   0.305307E+07   0.266256E+01
   0.407178E-01   0.599624E+07   0.595330E+07  -0.123768E+03  -0.123804E+03   0.136651E+07   0.596718E+07   0.598911E+07   0.596718E+07  -0.134388E+00   0.290492E+07   0.290463E+07   0.237432E+01
   0.428055E-01   0.568411E+07   0.564366E+07  -0.106173E+03  -0.106203E+03   0.122933E+07   0.565630E+07   0.567739E+07   0.565630E+07  -0.127386E+00   0.275365E+07   0.275338E+07   0.207580E+01
   0.450002E-01   0.541976E+07   0.538230E+07  -0.916131E+02  -0.916395E+02   0.111122E+07   0.539313E+07   0.541354E+07   0.539313E+07  -0.121460E+00   0.262560E+07   0.262536E+07   0.177558E+01
   0.473074E-01   0.517652E+07   0.514245E+07  -0.791864E+02  -0.792092E+02   0.100509E+07   0.515110E+07   0.517086E+07   0.515110E+07  -0.116009E+00   0.250783E+07   0.250762E+07   0.148142E+01
   0.497329E-01   0.495231E+07   0.492193E+07  -0.685586E+02  -0.685784E+02   0.909684E+06   0.492812E+07   0.494727E+07   0.492812E+07  -0.110987E+00   0.239932E+07   0.239914E+07   0.120229E+01
   0.522827E-01   0.475995E+07   0.473337E+07  -0.596354E+02  -0.596526E+02   0.826322E+06   0.473690E+07   0.475554E+07   0.473690E+07  -0.106681E+00   0.230627E+07   0.230612E+07   0.947724E+00
   0.549633E-01   0.456581E+07   0.454294E+07  -0.517687E+02  -0.517836E+02   0.748300E+06   0.454392E+07   0.456201E+07   0.454392E+07  -0.102334E+00   0.221236E+07   0.221224E+07   0.725570E+00
   0.589146E-01   0.431265E+07   0.429442E+07  -0.425695E+02  -0.425817E+02   0.651431E+06   0.429227E+07   0.430962E+07   0.429227E+07  -0.966670E-01   0.208989E+07   0.208981E+07   0.484445E+00
   0.628660E-01   0.407345E+07   0.405855E+07  -0.353197E+02  -0.353299E+02   0.569094E+06   0.405437E+07   0.407098E+07   0.405437E+07  -0.913091E-01   0.197411E+07   0.197404E+07   0.338510E+00
   0.668173E-01   0.385142E+07   0.383842E+07  -0.295660E+02  -0.295745E+02   0.499278E+06   0.383338E+07   0.384926E+07   0.383338E+07  -0.863320E-01   0.186655E+07   0.186649E+07   0.272095E+00
   0.707686E-01   0.362936E+07   0.361695E+07  -0.248390E+02  -0.248462E+02   0.437838E+06   0.361217E+07   0.362730E+07   0.361217E+07  -0.813503E-01   0.175888E+07   0.175882E+07   0.263922E+00
   0.747199E-01   0.341062E+07   0.339780E+07  -0.209392E+02  -0.209452E+02   0.383932E+06   0.339414E+07   0.340849E+07   0.339414E+07  -0.764400E-01   0.165274E+07   0.165268E+07   0.291480E+00
   0.786712E-01   0.318867E+07   0.317482E+07  -0.176593E+02  -0.176643E+02   0.335783E+06   0.317285E+07   0.318637E+07   0.317285E+07  -0.714562E-01   0.154502E+07   0.154494E+07   0.333380E+00
   0.826226E-01   0.297558E+07   0.296051E+07  -0.149401E+02  -0.149444E+02   0.293809E+06   0.296037E+07   0.297308E+07   0.296037E+07  -0.666710E-01   0.144158E+07   0.144149E+07   0.372528E+00
   0.865739E-01   0.277830E+07   0.276219E+07  -0.127047E+02  -0.127083E+02   0.257792E+06   0.276368E+07   0.277563E+07   0.276368E+07  -0.622413E-01   0.134582E+07   0.134572E+07   0.397066E+00
   0.905252E-01   0.260192E+07   0.258525E+07  -0.108817E+02  -0.108849E+02   0.227341E+06   0.258791E+07   0.259916E+07   0.258791E+07  -0.582826E-01   0.126024E+07   0.126013E+07   0.400894E+00
   0.944765E-01   0.244917E+07   0.243255E+07  -0.940397E+01  -0.940667E+01   0.201903E+06   0.243576E+07   0.244641E+07   0.243576E+07  -0.548562E-01   0.118617E+07   0.118606E+07   0.383165E+00
